codigo;disciplina;ch;periodo;modulo;estrutura_curricular;Série/Módulo;curso;modalidade;campus;vagas;pré-requisito
MACELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD22046 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;042018 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS MACEIO;22;não se aplica
MACELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD22046 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;042018 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS MACEIO;20;não se aplica
MACELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD22046 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;042018 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS MACEIO;15;não se aplica
MACELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD22046 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;042018 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS MACEIO;21;não se aplica
MACELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD22046 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;042018 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS MACEIO;21;não se aplica
MACELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD22046 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;042018 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS MACEIO;15;não se aplica
PINELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD0117 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;05 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS PALMEIRA DOS INDIOS;30;não se aplica
PINELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD0117 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;05 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS PALMEIRA DOS INDIOS;60;não se aplica
PINELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD0117 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;05 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS PALMEIRA DOS INDIOS;30;não se aplica
PINELTACEL2;ACIONAMENTOS ELÉTRICOS;120;2022.1;MOD0117 - ELETROTÉCNICA_INTEGRADO_2ª SÉRIE_2020.1;05 - 2020.1;2;ELETROTECNICA;Integrado;CAMPUS PALMEIRA DOS INDIOS;60;não se aplica
